tau,meth_cost_ratio,pct_resolved_stage1,avg_cost_per_patient,overall_accuracy_ceiling,overall_accuracy_floor
0.38,1.2,0.9426111908177905,1.0688665710186513,0.9799139167862266,0.9641319942611191
0.38,1.45,0.9426111908177905,1.0832137733142038,0.9799139167862266,0.9641319942611191
0.38,1.8,0.9426111908177905,1.103299856527977,0.9799139167862266,0.9641319942611191
0.4,1.2,0.9411764705882353,1.0705882352941176,0.9799139167862266,0.9641319942611191
0.4,1.45,0.9411764705882353,1.085294117647059,0.9799139167862266,0.9641319942611191
0.4,1.8,0.9411764705882353,1.1058823529411765,0.9799139167862266,0.9641319942611191
0.42,1.2,0.9411764705882353,1.0705882352941176,0.9799139167862266,0.9641319942611191
0.42,1.45,0.9411764705882353,1.085294117647059,0.9799139167862266,0.9641319942611191
0.42,1.8,0.9411764705882353,1.1058823529411765,0.9799139167862266,0.9641319942611191
0.44,1.2,0.93974175035868,1.072309899569584,0.9799139167862266,0.9641319942611191
0.44,1.45,0.93974175035868,1.087374461979914,0.9799139167862266,0.9641319942611191
0.44,1.8,0.93974175035868,1.1084648493543758,0.9799139167862266,0.9641319942611191
0.46,1.2,0.9368723098995696,1.0757532281205164,0.9827833572453372,0.9641319942611191
0.46,1.45,0.9368723098995696,1.0915351506456241,0.9827833572453372,0.9641319942611191
0.46,1.8,0.9368723098995696,1.1136298421807747,0.9827833572453372,0.9641319942611191
0.48,1.2,0.9368723098995696,1.0757532281205164,0.9827833572453372,0.9641319942611191
0.48,1.45,0.9368723098995696,1.0915351506456241,0.9827833572453372,0.9641319942611191
0.48,1.8,0.9368723098995696,1.1136298421807747,0.9827833572453372,0.9641319942611191
0.5,1.2,0.9354375896700143,1.077474892395983,0.9842180774748924,0.9641319942611191
0.5,1.45,0.9354375896700143,1.0936154949784793,0.9842180774748924,0.9641319942611191
0.5,1.8,0.9354375896700143,1.1162123385939742,0.9842180774748924,0.9641319942611191
0.52,1.2,0.9282639885222381,1.0860832137733143,0.9856527977044476,0.9641319942611191
